" ""mlbs""";" ""bandwidth""";" ""segment_length""";" ""number of stalls""";
 0.1; 0.466666666666667;1; 3.33333333333333;
 0.1; 0.533333333333333; 0.2;15;
 0.1; 0.533333333333333; 0.6;7;
 0.1; 0.533333333333333;1; 3.33333333333333;
 0.1; 0.566666666666667; 0.2;15;
 0.1; 0.566666666666667; 0.6;7;
 0.1; 0.566666666666667;1; 3.33333333333333;
 0.1; 0.6; 0.2;15;
 0.1; 0.6; 0.6;7;
 0.1; 0.6;1; 3.33333333333333;
 0.1; 0.633333333333333; 0.2;15;
 0.1; 0.633333333333333; 0.6;7;
 0.1; 0.633333333333333;1; 3.33333333333333;
 0.1; 0.666666666666667; 0.2;15;
 0.1; 0.666666666666667; 0.6;7;
 0.1; 0.666666666666667;1; 3.33333333333333;
 0.1;1; 0.2;15;
 0.1;1; 0.6;7;
 0.1;1;1; 3.33333333333333;
 0.6; 0.466666666666667; 0.2; 11.4444444444444;
 0.6; 0.466666666666667; 0.6;5;
 0.6; 0.466666666666667;1; 2.77777777777778;
 0.6; 0.533333333333333; 0.2; 10.8888888888889;
 0.6; 0.533333333333333; 0.6; 4.44444444444444;
 0.6; 0.533333333333333;1; 2.66666666666667;
 0.6; 0.566666666666667; 0.2; 10.4444444444444;
 0.6; 0.566666666666667; 0.6; 4.11111111111111;
 0.6; 0.566666666666667;1; 2.66666666666667;
 0.6; 0.6; 0.2; 10.8888888888889;
 0.6; 0.6; 0.6; 4.77777777777778;
 0.6; 0.6;1; 2.55555555555556;
 0.6; 0.633333333333333; 0.2; 10.4444444444444;
 0.6; 0.633333333333333; 0.6; 4.66666666666667;
 0.6; 0.633333333333333;1; 2.55555555555556;
 0.6; 0.666666666666667; 0.2; 10.4444444444444;
 0.6; 0.666666666666667; 0.6; 4.33333333333333;
 0.6; 0.666666666666667;1; 2.44444444444444;
 0.6;1; 0.2; 9.77777777777778;
 0.6;1; 0.6; 4.11111111111111;
 0.6;1;1; 2.22222222222222;
1; 0.466666666666667; 0.2; 5.11111111111111;
1; 0.466666666666667; 0.6; 0.444444444444444;
